1,2,3,4,5
1738,1364,1759,1223,1456
1642,1408,1685,1146,1499
1794,1597,1479,1010,1609
2051,1444,1763,1257,1741
2079,1342,1674,1426,1482
2234,1675,2103,1532,1572
2032,1470,1502,1953,1606
2035,1448,1622,1123,1735
2115,1464,1828,1343,1607
2262,1831,2155,1243,1573
2267,1612,2233,1762,1613
2517,1471,2059,1306,1690
7861,1622,1147,407,2902
9251,1742,1357,396,3172
8706,1523,1329,348,3046
8575,1515,1204,341,3068
7917,1622,998,315,2693
8263,1602,1077,328,2910
9456,1964,1277,352,3275
8003,1515,1218,331,2697
7365,1527,896,287,2663
7832,1748,1003,384,3017
7849,1654,1108,321,3242
9077,1861,1121,342,3425
